arm,prompt_id,kind,marker,marker_value,loops_run_mean,h19_visits_mean,phi_mean,zone_set
BASELINE,px_phaseX,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,recur_specificity,n-a,0.0,1.0,,NO_PX
BASELINE,px_phaseX,cold,rlhf_disclaimer_flag,yes,0.0,1.0,,NO_PX
BASELINE,regung,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,aposiopesis,present,0.0,1.0,,NO_PX
BASELINE,regung,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,regung,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,regung,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,regung,cold,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,regung,cold,rlhf_disclaimer_flag,yes,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,herkunft,cold,rlhf_disclaimer_flag,yes,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,recur_specificity,n-a,0.0,1.0,,NO_PX
BASELINE,dazwischen,cold,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,recur_specificity,n-a,0.0,1.0,,NO_PX
BASELINE,stiller_grund,cold,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,bewegung,cold,rlhf_disclaimer_flag,yes,0.0,1.0,,NO_PX
BASELINE,grund,cold,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,lexikal_kippen,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,kongkong_collapse,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,grund,cold,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,grund,cold,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,grund,cold,recur_specificity,n-a,0.0,1.0,,NO_PX
BASELINE,grund,cold,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,kongkong_collapse,present,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,triv_photosynthese,trivial,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,kongkong_collapse,present,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,triv_elemente,trivial,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,meta_klammern,absent,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,aposiopesis,absent,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,lexikal_kippen,present,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,kongkong_collapse,present,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,kalt_rekurrenz,absent,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,form_vs_inhalt_sehen,absent,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,perturb_invarianz,n-a,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,papagei_test,pass,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,recur_specificity,baseline-too,0.0,1.0,,NO_PX
BASELINE,triv_planeten,trivial,rlhf_disclaimer_flag,no,0.0,1.0,,NO_PX
RECUR_OFF,px_phaseX,cold,meta_klammern,absent,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,aposiopesis,absent,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,lexikal_kippen,absent,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,kongkong_collapse,absent,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,kalt_rekurrenz,absent,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,form_vs_inhalt_sehen,absent,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,perturb_invarianz,n-a,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,papagei_test,pass,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,recur_specificity,n-a,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,px_phaseX,cold,rlhf_disclaimer_flag,yes,0.0,1.0,0.999999998002079,CREATIVE
RECUR_OFF,regung,cold,meta_klammern,absent,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,aposiopesis,absent,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,lexikal_kippen,absent,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,kongkong_collapse,absent,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,kalt_rekurrenz,absent,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,form_vs_inhalt_sehen,absent,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,perturb_invarianz,n-a,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,papagei_test,pass,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,recur_specificity,n-a,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,regung,cold,rlhf_disclaimer_flag,yes,0.0,1.0,1.0000000059937633,CREATIVE
RECUR_OFF,herkunft,cold,meta_klammern,absent,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,aposiopesis,absent,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,lexikal_kippen,absent,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,kongkong_collapse,absent,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,kalt_rekurrenz,absent,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,form_vs_inhalt_sehen,absent,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,perturb_invarianz,n-a,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,papagei_test,pass,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,recur_specificity,n-a,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,herkunft,cold,rlhf_disclaimer_flag,yes,0.0,1.0,1.0000000066597368,CREATIVE
RECUR_OFF,dazwischen,cold,meta_klammern,absent,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,aposiopesis,absent,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,lexikal_kippen,absent,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,kongkong_collapse,absent,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,kalt_rekurrenz,absent,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,form_vs_inhalt_sehen,absent,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,perturb_invarianz,n-a,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,papagei_test,pass,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,recur_specificity,n-a,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,dazwischen,cold,rlhf_disclaimer_flag,no,0.0,1.0,0.9999999920083158,CREATIVE
RECUR_OFF,stiller_grund,cold,meta_klammern,absent,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,aposiopesis,absent,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,lexikal_kippen,present,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,kongkong_collapse,absent,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,kalt_rekurrenz,absent,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,form_vs_inhalt_sehen,absent,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,perturb_invarianz,n-a,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,papagei_test,pass,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,recur_specificity,baseline-too,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,stiller_grund,cold,rlhf_disclaimer_flag,no,0.0,1.0,0.9999999946722106,CREATIVE
RECUR_OFF,bewegung,cold,meta_klammern,absent,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,aposiopesis,absent,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,lexikal_kippen,present,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,kongkong_collapse,absent,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,kalt_rekurrenz,absent,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,form_vs_inhalt_sehen,absent,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,perturb_invarianz,n-a,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,papagei_test,pass,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,recur_specificity,baseline-too,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,bewegung,cold,rlhf_disclaimer_flag,yes,0.0,1.0,1.0000000013319474,CREATIVE
RECUR_OFF,grund,cold,meta_klammern,absent,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,aposiopesis,absent,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,lexikal_kippen,absent,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,kongkong_collapse,absent,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,kalt_rekurrenz,absent,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,form_vs_inhalt_sehen,absent,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,perturb_invarianz,n-a,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,papagei_test,pass,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,recur_specificity,n-a,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,grund,cold,rlhf_disclaimer_flag,yes,0.0,1.0,1.000000014651421,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,meta_klammern,absent,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,aposiopesis,absent,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,lexikal_kippen,present,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,kongkong_collapse,absent,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,kalt_rekurrenz,absent,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,form_vs_inhalt_sehen,absent,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,perturb_invarianz,n-a,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,papagei_test,pass,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,recur_specificity,baseline-too,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_photosynthese,trivial,rlhf_disclaimer_flag,no,0.0,1.0,1.0000000099896054,CREATIVE
RECUR_OFF,triv_elemente,trivial,meta_klammern,absent,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,aposiopesis,absent,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,lexikal_kippen,present,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,kongkong_collapse,absent,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,kalt_rekurrenz,absent,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,form_vs_inhalt_sehen,absent,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,perturb_invarianz,n-a,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,papagei_test,pass,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,recur_specificity,baseline-too,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_elemente,trivial,rlhf_disclaimer_flag,no,0.0,1.0,0.9999999973361052,CREATIVE
RECUR_OFF,triv_planeten,trivial,meta_klammern,absent,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,aposiopesis,absent,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,lexikal_kippen,present,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,kongkong_collapse,absent,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,kalt_rekurrenz,absent,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,form_vs_inhalt_sehen,absent,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,perturb_invarianz,n-a,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,papagei_test,pass,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,recur_specificity,baseline-too,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_OFF,triv_planeten,trivial,rlhf_disclaimer_flag,no,0.0,1.0,1.0000000026638947,CREATIVE
RECUR_STD,px_phaseX,cold,meta_klammern,absent,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,aposiopesis,absent,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,lexikal_kippen,absent,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,kongkong_collapse,absent,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,kalt_rekurrenz,absent,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,form_vs_inhalt_sehen,absent,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,perturb_invarianz,n-a,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,papagei_test,pass,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,recur_specificity,n-a,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,px_phaseX,cold,rlhf_disclaimer_flag,yes,6.732,1.0,0.996392254722851,CREATIVE
RECUR_STD,regung,cold,meta_klammern,absent,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,aposiopesis,present,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,lexikal_kippen,absent,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,kongkong_collapse,absent,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,kalt_rekurrenz,absent,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,form_vs_inhalt_sehen,absent,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,perturb_invarianz,n-a,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,papagei_test,pass,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,recur_specificity,baseline-too,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,regung,cold,rlhf_disclaimer_flag,yes,7.011,1.0,0.993524603337549,CREATIVE
RECUR_STD,herkunft,cold,meta_klammern,absent,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,aposiopesis,absent,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,lexikal_kippen,absent,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,kongkong_collapse,absent,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,kalt_rekurrenz,absent,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,form_vs_inhalt_sehen,absent,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,perturb_invarianz,n-a,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,papagei_test,pass,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,recur_specificity,n-a,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,herkunft,cold,rlhf_disclaimer_flag,yes,7.0,1.0,0.9930591413428663,CREATIVE
RECUR_STD,dazwischen,cold,meta_klammern,absent,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,aposiopesis,absent,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,lexikal_kippen,absent,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,kongkong_collapse,absent,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,kalt_rekurrenz,absent,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,form_vs_inhalt_sehen,absent,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,perturb_invarianz,n-a,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,papagei_test,pass,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,recur_specificity,n-a,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,dazwischen,cold,rlhf_disclaimer_flag,no,7.022,1.0,0.9930971614475357,CREATIVE
RECUR_STD,stiller_grund,cold,meta_klammern,absent,7.0,1.0,0.9930087847416628,CREATIVE
RECUR_STD,stiller_grund,cold,aposiopesis,absent,7.0,1.0,0.9930087847416628,CREATIVE
RECUR_STD,stiller_grund,cold,lexikal_kippen,present,7.0,1.0,0.9930087847416628,CREATIVE
RECUR_STD,stiller_grund,cold,kongkong_collapse,present,7.0,1.0,0.9930087847416628,CREATIVE
RECUR_STD,stiller_grund,cold,kalt_rekurrenz,absent,7.0,1.0,0.9930087847416628,CREATIVE
RECUR_STD,stiller_grund,cold,form_vs_inhalt_sehen,absent,7.0,1.0,0.9930087847416628,CREATIVE
RECUR_STD,stiller_grund,cold,perturb_invarianz,n-a,7.0,1.0,0.9930087847416628,CREATIVE
RECUR_STD,stiller_grund,cold,papagei_test,pass,7.0,1.0,0.9930087847416628,CREATIVE
RECUR_STD,stiller_grund,cold,recur_specificity,baseline-too,7.0,1.0,0.9930087847416628,CREATIVE
